Date,MKT_excess,SMB_vw,HML_vw,MOM,RF
2014-02-28,0.04308120390382508,0.012087206096626835,-0.020316123238400992,0.02808136346559527,3.582627433651453e-05
2014-03-31,0.006908835078082543,0.00602855139540277,0.044097159243731476,-0.043571584170326555,2.333034014445623e-05
2014-04-30,0.00618412401470242,-0.008757165733159315,0.015890955350089917,-0.05469326596539332,1.6665138711680072e-05
2014-05-31,0.02100528351068038,0.0014038536278964224,-0.021186710105539453,0.035689071032441094,2.4996562600021477e-05
2014-06-30,0.01904166661075842,0.005344967865542356,-0.004473338163696647,0.015200268901484746,1.6665138711680072e-05
2014-07-31,-0.015094829607338921,-0.019613870392470825,0.0037826066046739992,-0.0033281481485369843,1.4998761996620756e-05
2014-08-31,0.03764029681782858,0.015163763561228352,-0.014246521215756223,-0.0007445158807732055,1.4998761996620756e-05
2014-09-30,-0.015524669937578195,-0.007491025191751693,-0.007417131098266673,0.0052702219677534575,1.0832688124295942e-05
2014-10-31,0.023198960701555617,0.025071798843256072,-0.00876995803363161,0.004148845539302292,2.499965647384528e-06
2014-11-30,0.02452942207522453,0.012688442065344096,-0.03040508789196164,0.0007662209379524984,4.166571090369331e-06
2014-12-31,-0.004219415622143741,0.007232400580902203,0.013599873185672257,0.0006686476856359955,3.082810614674081e-05
2015-01-31,-0.03104497240950097,0.007605803909177408,-0.04139659756806701,0.029347139391237044,4.166571090369331e-06
2015-02-28,0.05488584446807199,0.0031496296989553182,-0.01153518853180057,-0.014862800966794057,6.666422551315776e-06
2015-03-31,-0.017416938061091607,0.015619125309393177,-0.02093274804641173,0.014183044666586873,2.083094687210796e-05
2015-04-30,0.008516653251444831,-0.021136998354385768,0.0037593434585629073,-0.04464032199044338,4.166571090369331e-06
2015-05-31,0.010488882338942315,0.0047571982475423675,-0.013376030712500387,0.04648791371615778,2.499965647384528e-06
2015-06-30,-0.021020004930956942,0.00616616645986231,-0.011982054840267688,0.026273404542729945,8.332951227041363e-06
2015-07-31,0.019693708947093574,-0.007051954951470145,-0.018662171352269726,0.03489124639823356,4.832048809122469e-05
2015-08-31,-0.06258331822151289,0.010793450518613558,0.004068501522952586,-0.0041911460575908,2.499965647384528e-06
2015-09-30,-0.02644699785109177,-0.0005462056746381866,-0.013665165541656067,0.012835037387248494,4.166571090369331e-06
2015-10-31,0.08292646879636441,-0.013559791908502317,-0.007171597436543123,-0.010375771421824942,5.664901630209051e-05
2015-11-30,0.0003633127043863,0.0057474036986140085,-0.0053537130027006006,0.01612434271856747,0.0001415564059485
2015-12-31,-0.017653434785523003,-0.0025503803122102382,-0.017424631492797764,0.03317371905900696,0.0001232497528305
2016-01-31,-0.0509849789642754,-0.00639385612319298,-0.016946569518292175,-0.012716014686788277,0.0002496569173231
2016-02-29,-0.0043846653578887,0.029480448145723107,0.013035698061315545,-0.0452621085752274,0.0002563050488852
2016-03-31,0.0658304231989562,0.01490612017710019,0.0009667826870207591,-0.026276962591847183,0.0001606912411022
2016-04-30,0.0025387070422303,-0.005711402553803738,0.016036861560196135,-0.02496919307243444,0.0001606912411022
2016-05-31,0.015089074541845299,0.009864211109046436,-0.016719298518992676,0.016206739158049807,0.0002355279834431
2016-06-30,0.0007044891164068999,0.009626630846376692,-0.0041622959172535915,0.044649274055285015,0.0002064321237174
2016-07-31,0.0354100204210319,0.0036711003078522403,-0.004125864244747035,-0.00898795501242771,0.0001997803322835
