,mean_lambda,t_stat
lambda_0,0.0009355876551961457,0.30240916262311884
lambda_MKT,0.011601299364230171,2.395792866478541
lambda_SMB,-0.002236032378677555,-1.4493439738060034
lambda_HML,-0.007937129765501162,-2.484130181670645
lambda_MOM,0.009351126735372018,2.16185326119876
