,alpha,t_alpha,R2,n_obs,beta_MKT_excess,t_MKT_excess,beta_TENY_innov,t_TENY_innov,beta_CREDIT_innov,t_CREDIT_innov
CTAS,0.013105615363037242,3.318326016045501,0.6195431921481789,131.0,0.8892047375247991,7.443824471420991,-3.796362885529919,-2.011456954047666,-11.873844556409136,-4.3802498151988045
CTRA,-0.006419011494996248,-0.7538686163831485,0.06125094595736036,131.0,0.6986451233234787,2.7127942988763794,8.241268543043942,2.025363439853483,12.1911590234482,2.086019641814133
CTSH,-0.002754878435456331,-0.5309708799855681,0.39748676978457553,131.0,0.8639994570762007,5.505724238496356,-2.108268644800686,-0.8503067050981471,-6.698306943097665,-1.8809584212046357
CVS,-0.009293260228948802,-1.5008720084895841,0.17412707202078892,131.0,0.8490966199779559,4.533831685247648,0.39898697824807366,0.13483904599531646,5.832356475109129,1.3723519585531414
D,-0.0050204865739754065,-1.1789371628264824,0.20252973147451603,131.0,0.37460916627100427,2.9084122776436208,-5.182352620083093,-2.546555805026035,-2.837672456935388,-0.9708519321131289
DAL,-0.0023190786407599542,-0.29776031624826554,0.3216067652125483,131.0,1.326551694827203,5.631294515722832,7.506873068642236,2.016934540192407,-1.1842138883495779,-0.2215273629667864
DE,0.0036937447911048475,0.6658060174957457,0.3592581221140365,131.0,1.1424500129490631,6.808489290317909,5.716695618479737,2.156290596676882,2.7811777614237374,0.7303910868522517
DECK,0.01698000793323147,2.1925777039965104,0.20575819962643427,131.0,0.8466346756648211,3.6144804343331183,0.3224246317699303,0.08712177336902015,-5.39351825978723,-1.014694122080916
DG,-0.0010855010578504941,-0.15989023312312248,0.08071523593341445,131.0,0.5811755039052723,2.8302950193144243,-0.31010000441260854,-0.09558172119177667,3.4437982940624274,0.7390524784930709
DHR,0.005131934717041564,1.2520945679238729,0.43912891531449705,131.0,0.7964911842415887,6.424949273427507,-5.8414830782872,-2.982363125236286,-1.3491569273125577,-0.47958364310248064
DLR,0.004437220439785561,0.8611151428721683,0.27371724430209465,131.0,0.6739364289871295,4.324161199138629,-7.427480364025515,-3.0162902038185893,6.24214906546823,1.7649412101804967
DLTR,-0.0025869591315057956,-0.342781941928549,0.1470413367641633,131.0,0.9331706500873455,4.08810610818535,3.1732005901017235,0.879847254255926,4.919194220296234,0.949660169501434
DPZ,0.00875634447738136,1.3089777287573727,0.23687170801233637,131.0,0.80769220536319,3.9919770166422732,-8.26433551379219,-2.5852273920659505,3.0647716991364793,0.667503326036298
DRI,0.006845989910877625,1.0679164335309488,0.28909372382682197,131.0,0.741653796133763,3.8250310105748104,-0.06285469305424937,-0.02051729555072623,-9.275432530546244,-2.1080507989836668
DVA,-0.0014114119052185423,-0.21196634329841033,0.316847663887983,131.0,1.167292937648913,5.795964421278222,-2.0019646457542937,-0.6291452538563044,1.2429940737691891,0.2719744304281359
DVN,-0.008423202384542822,-0.7508694693065336,0.42962355113456496,131.0,1.7318238694482555,5.104152636086126,11.136413128373158,2.0773703742736243,-20.26961357584776,-2.632561746190434
