,mean_lambda,t_stat
lambda_0,0.0007102531745131622,0.2103848409697413
lambda_MKT,0.009745777045785923,1.9862025627993352
lambda_TENY,-0.0003438544330120694,-1.2220986907252533
lambda_CREDIT,0.0001296263992321181,0.5668202602667854
