Date,MKT_excess,RF,TENY_innov,CREDIT_innov
2014-02-28,0.04308120390382508,3.582627433651453e-05,-0.00022204890600784413,-0.0002950494881940914
2014-03-31,0.006908835078082543,2.333034014445623e-05,0.0005768314130590937,-0.0007343317855364254
2014-04-30,0.00618412401470242,1.6665138711680072e-05,-0.0007153308204094939,-0.0009050399207526268
2014-05-31,0.02100528351068038,2.4996562600021477e-05,-0.002022048906007847,0.0006163954845627012
2014-06-30,0.01904166661075842,1.6665138711680072e-05,0.00035667715626402224,-0.0003364657586264995
2014-07-31,-0.015094829607338921,1.4998761996620756e-05,0.00036227556092931906,-6.789159650036347e-05
2014-08-31,0.03764029681782858,1.4998761996620756e-05,-0.0024321260344053845,0.0006242519440311685
2014-09-30,-0.015524669937578195,1.0832688124295942e-05,0.001542121304134246,0.0006713907008419687
2014-10-31,0.023198960701555617,2.499965647384528e-06,-0.0018388441200037423,0.0011185294576527734
2014-11-30,0.02452942207522453,4.166571090369331e-06,-0.0018578786958657542,0.0014970940523374408
2014-12-31,-0.004219415622143741,3.082810614674081e-05,-0.00027691327172776545,0.00019922802542751347
2015-01-31,-0.03104497240950097,4.166571090369331e-06,-0.005078032952660828,0.00129137156595905
2015-02-28,0.05488584446807199,6.666422551315776e-06,0.0029671026816192533,-0.0011300638393562795
2015-03-31,-0.017416938061091607,2.083094687210796e-05,-0.0007970675285228386,0.0011520892686167107
2015-04-30,0.008516653251444831,4.166571090369331e-06,0.0008962143858788005,0.0008227974038329186
2015-05-31,0.010488882338942315,2.499965647384528e-06,0.0005085308761424608,0.0015620797011752507
2015-06-30,-0.021020004930956942,8.332951227041363e-06,0.0021163686426738763,0.0015563572147968552
2015-07-31,0.019693708947093574,4.832048809122469e-05,-0.001657878695865752,0.0016427782689499917
2015-08-31,-0.06258331822151289,2.499965647384528e-06,-7.46739098616521e-05,0.0027291993231031327
2015-09-30,-0.02644699785109177,4.166571090369331e-06,-0.0016735542289285851,0.0021941849719409393
2015-10-31,0.08292646879636441,5.664901630209051e-05,0.0008096505570755197,-9.582459550052519e-05
2015-11-30,0.0003633127043863,0.0001415564059485,0.0003208473664061094,0.0009256108098148093
2015-12-31,-0.017653434785523003,0.0001232497528305,0.00042644577107141604,0.0011334672692832753
2016-01-31,-0.0509849789642754,0.0002496569173231,-0.0034668361433302305,0.0033570366476886743
2016-02-29,-0.0043846653578887,0.0002563050488852,-0.002203785614121198,0.0017534481344003497
2016-03-31,0.0658304231989562,0.0001606912411022,0.0001738207672176105,-0.00319155664932037
2016-04-30,0.0025387070422303,0.0001606912411022,0.00027829949094984943,-0.0018293844064644627
2016-05-31,0.015089074541845299,0.0002355279834431,-0.0001161021043848548,0.000366347647355391
2016-06-30,0.0007044891164068999,0.0002064321237174,-0.003714982423451793,0.0013506347284184643
2016-07-31,0.0354100204210319,0.0001997803322835,-0.0005541712561088798,-0.0014865135958338042
2016-08-31,-0.0014855192463757,0.0002662763473564,0.0009424697010919428,-0.0005514992446716133
2016-09-30,-0.0014508600316892,0.0002164088923719,-4.409412771134297e-05,0.0011699361606437204
2016-10-31,-0.0196711804694298,0.0002455015603954,0.0021581452341547756,-0.00036721216360854556
2016-11-30,0.0337853558908674,0.0003891659384276,0.005085017576548209,-0.001230063839356279
2016-12-31,0.0178016397615106,0.0003991226803552,0.0006443606660003626,-0.0014557671908517582
2017-01-31,0.0174686433536535,0.000415714844729,-0.00014668188653515699,-0.00038932700181569177
2017-02-28,0.036763367983133406,0.0004347920836829,-0.0010466818865351585,-0.0003286092991580322
2017-03-31,-0.001002126633482,0.0006129294982126,0.0002432409850673077,0.0005399648629681071
2017-04-30,0.0084435210079679,0.0006476877408867,-0.0012522802912004576,0.0004792471603104302
2017-05-31,0.0107880108603073,0.0007882403860213,-0.0009645967814641138,-0.00038932700181569177
2017-06-30,0.0039900176697318,0.0008237575380807,0.0008264457710714136,-0.001328609299158033
2017-07-31,0.018475532783292798,0.000873293217809,-0.000262357419597993,-0.00033859973171656774
2017-08-31,-0.00026493639553830004,0.0008113694153915,-0.0019634771005310504,0.0007378308898780307
2017-09-30,0.018450321913062298,0.0008526566491053,0.0019163686426738775,-0.0013993174343742351
2017-10-31,0.0212570842449658,0.0009310508211854,0.00033988194226812485,-0.001009307866932773
2017-11-30,0.02705676907269,0.0010258587338733,0.00024548034693342574,-0.0004800160021489787
2017-12-31,0.0087094163932485,0.001122214201022,-0.00035004092933433456,-0.0013035853805543722
2018-01-31,0.054994777263236,0.0011839268622921,0.003047719708799544,-0.002390006434707515
2018-02-28,-0.0402858083803229,0.0013384365009552,0.00138354949865745,0.000745007916454675
2018-03-31,-0.028265625468745902,0.0013811268681893,-0.001399655287346653,0.0013392854300762862
2018-04-30,0.0012613477779577001,0.0014574272174106,0.0019857888605235713,-0.0008271547589597805
2018-05-31,0.020063207307357302,0.0015451345472263,-0.001290697839882178,0.00072570648422942
2018-06-30,0.0032891090964429,0.0015533271711649,9.586598892110526e-05,0.0008042710789140928
2018-07-31,0.0343822508286451,0.001639305344254,0.0009981053507872248,-0.0017171643264012396
